MONTH,HOUR,TOTAL,FATAL,percent
12,1,11,0,0
12,2,5,1,0.2
12,3,1,0,0
12,4,4,0,0
12,5,7,0,0
12,6,3,0,0
12,7,2,,0
12,8,3,,0
12,9,4,,0
12,10,1,,0
12,11,0,0,0
12,12,0,0,0
12,13,0,0,0
12,14,5,,0
12,15,5,,0
12,16,17,,0
12,17,19,,0
12,18,39,,0
12,19,30,,0.033333333
12,20,16,,0.1875
12,21,24,,0
12,22,19,,0.052631579
12,23,13,,0
