MONTH,HOUR,TOTAL,FATAL,percent
12,3,1,0,0
12,4,2,0,0
12,5,0,0,0
12,6,8,1,0.125
12,7,18,0,0
12,8,36,0,0
12,9,26,0,0
12,10,32,0,0
12,11,34,1,0.029411765
12,12,36,1,0.027777778
12,13,40,0,0
12,14,37,0,0
12,15,35,0,0
12,16,32,0,0
12,17,40,0,0
12,18,1,0,0
12,19,1,0,0
12,20,0,0,0
12,21,0,0,0
12,22,2,0,0
12,23,2,0,0
