MONTH,HOUR,TOTAL,FATAL,percent
11,20,0,0,0
11,21,0,0,0
11,22,0,0,0
11,23,0,0,0
12,0,0,0,0
12,1,0,0,0
12,2,1,0,0
12,3,0,0,0
12,4,0,0,0
12,5,0,0,0
12,6,3,0,0
12,7,6,0,0
12,8,10,0,0
12,9,7,0,0
12,10,15,0,0
12,11,13,0,0
12,12,10,0,0
12,13,11,0,0
12,14,11,0,0
12,15,11,0,0
12,16,15,0,0
12,17,6,0,0
12,18,0,0,0
12,19,0,0,0
12,20,1,0,0
12,21,0,0,0
12,22,1,0,0
12,23,2,0,0
