MONTH,HOUR,TOTAL,FATAL,percent
11,10,41,1,0.024390244
11,11,51,1,0.019607843
11,12,54,0,0
11,13,56,2,0.035714286
11,14,53,4,0.075471698
11,15,77,0,0
11,16,41,0,0
11,17,46,0,0
11,18,3,0,0
11,19,2,0,0
11,20,2,0,0
11,21,1,0,0
11,22,0,0,0
11,23,0,0,0
12,0,2,0,0
12,1,0,0,0
12,2,1,0,0
12,3,1,0,0
12,4,2,0,0
12,5,0,0,0
12,6,11,1,0.090909091
12,7,24,0,0
12,8,46,0,0
12,9,33,0,0
12,10,47,0,0
12,11,47,1,0.021276596
12,12,46,1,0.02173913
12,13,51,0,0
12,14,48,0,0
12,15,46,0,0
12,16,47,0,0
12,17,46,0,0
12,18,1,0,0
12,19,1,0,0
12,20,1,0,0
12,21,0,0,0
12,22,3,0,0
12,23,4,0,0
